model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.747,0.743,0.95,0.939,4,1.16,1.16,1,1,False,,0.1,0.0,0.2314,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'butterfly', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,67.81433163695534
resnet20,CIFAR100,256,0.736,0.73,0.947,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.2347,0.25,False,0,1,10,"['house', 'lawn_mower', 'bridge', 'bus', 'skyscraper', 'motorcycle', 'streetcar', 'tank', 'tractor', 'train']",5.12552844804835,1.8085912877292711
resnet20,CIFAR100,256,0.729,0.734,0.942,0.94,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'chimpanzee', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,71.52075488491063
resnet20,CIFAR100,256,0.71,0.712,0.948,0.942,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'sea', 'mountain', 'oak_tree', 'cloud', 'palm_tree', 'pine_tree', 'plain']",6.134205435884685,2.2982349564769766
resnet20,CIFAR100,256,0.755,0.753,0.952,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.238,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,72.53466098732422
resnet20,CIFAR100,256,0.624,0.622,0.864,0.858,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.25,False,0,1,10,"['bed', 'lamp', 'bottle', 'bowl', 'bicycle', 'can', 'table', 'clock', 'couch', 'cup']",6.644042948640921,1.9315162233761511
resnet20,CIFAR100,256,0.728,0.73,0.955,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.236,0.25,False,0,0,10,"['apple', 'woman', 'sea', 'keyboard', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,66.34646753944148
resnet20,CIFAR100,256,0.684,0.693,0.883,0.882,4,1.16,1.16,1,1,False,,0.1,0.0,0.2338,0.25,False,0,1,10,"['bed', 'bicycle', 'lamp', 'bottle', 'can', 'chair', 'table', 'telephone', 'television', 'couch']",6.329656189062424,2.2565104136991874
resnet20,CIFAR100,256,0.79,0.792,0.962,0.963,4,1.16,1.16,1,1,False,,0.1,0.0,0.2354,0.25,False,0,0,10,"['apple', 'road', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,70.33548692865787
resnet20,CIFAR100,256,0.624,0.622,0.864,0.858,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.25,False,0,1,10,"['bed', 'lamp', 'bicycle', 'bottle', 'bowl', 'can', 'table', 'clock', 'couch', 'cup']",6.644042948640921,1.9315162233761511
resnet20,CIFAR100,256,0.728,0.73,0.955,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.236,0.25,False,0,0,10,"['apple', 'woman', 'sea', 'keyboard', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,66.34646753944148
resnet20,CIFAR100,256,0.692,0.69,0.885,0.886,4,1.16,1.16,1,1,False,,0.1,0.0,0.2336,0.25,False,0,1,10,"['bed', 'lamp', 'bottle', 'can', 'chair', 'table', 'telephone', 'television', 'couch', 'wardrobe']",11.865977804713532,2.961070382879816
