model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
mobilenetv2_x0_5,CIFAR100,256,0.601,0.601,0.6,0.859,0.857,0.855,4,1.16,1.16,1,1,False,,0.1,0.0,0.2098,0.2094,0.25,False,0,[1],10,"['couch', 'lizard', 'lobster', 'rabbit', 'wardrobe', 'raccoon', 'poppy', 'worm', 'bowl', 'bottle']",143.64208177354513,16.65764190289859
mobilenetv2_x0_5,CIFAR100,256,0.634,0.633,0.634,0.868,0.866,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.2096,0.2093,0.25,False,0,[1],10,"['aquarium_fish', 'rabbit', 'mouse', 'road', 'plate', 'lamp', 'bowl', 'clock', 'squirrel', 'plain']",105.292042226243,17.97756869681908
mobilenetv2_x0_5,CIFAR100,256,0.728,0.727,0.726,0.928,0.927,0.927,4,1.16,1.16,1,1,False,,0.1,0.0,0.2094,0.2092,0.25,False,0,[1],10,"['shark', 'snail', 'television', 'train', 'sweet_pepper', 'skyscraper', 'poppy', 'plain', 'sunflower', 'leopard']",68.94354718803224,21.84995660995198
mobilenetv2_x0_5,CIFAR100,256,0.612,0.613,0.615,0.879,0.877,0.878,4,1.16,1.16,1,1,False,,0.1,0.0,0.2087,0.209,0.25,False,0,[1],10,"['tractor', 'woman', 'otter', 'aquarium_fish', 'man', 'television', 'bed', 'lobster', 'elephant', 'road']",42.68408010069405,10.08386600321435
mobilenetv2_x0_5,CIFAR100,256,0.702,0.702,0.7,0.915,0.915,0.915,4,1.16,1.16,1,1,False,,0.1,0.0,0.21,0.211,0.25,False,0,[1],10,"['lawn_mower', 'crocodile', 'spider', 'sunflower', 'oak_tree', 'streetcar', 'trout', 'cockroach', 'willow_tree', 'leopard']",55.468062130892996,14.153872304638309
mobilenetv2_x0_5,CIFAR100,256,0.691,0.689,0.688,0.921,0.92,0.919,4,1.16,1.16,1,1,False,,0.1,0.0,0.2086,0.2106,0.25,False,0,[1],10,"['aquarium_fish', 'poppy', 'castle', 'bus', 'beetle', 'woman', 'plain', 'pickup_truck', 'cup', 'cockroach']",102.73889964379478,23.81255014938683
mobilenetv2_x0_5,CIFAR100,256,0.628,0.629,0.63,0.861,0.862,0.861,4,1.16,1.16,1,1,False,,0.1,0.0,0.2099,0.2099,0.25,False,0,[1],10,"['sunflower', 'lobster', 'worm', 'crocodile', 'lizard', 'cockroach', 'streetcar', 'oak_tree', 'turtle', 'snail']",49.63536384817715,11.505309396734146
mobilenetv2_x0_5,CIFAR100,256,0.578,0.581,0.581,0.873,0.872,0.87,4,1.16,1.16,1,1,False,,0.1,0.0,0.2094,0.209,0.25,False,0,[1],10,"['boy', 'woman', 'possum', 'lizard', 'apple', 'chimpanzee', 'man', 'oak_tree', 'sunflower', 'pear']",89.78662354417324,16.584724512672757
mobilenetv2_x0_5,CIFAR100,256,0.651,0.653,0.652,0.886,0.884,0.884,4,1.16,1.16,1,1,False,,0.1,0.0,0.2093,0.2081,0.25,False,0,[1],10,"['television', 'crab', 'lamp', 'streetcar', 'poppy', 'fox', 'lion', 'bicycle', 'ray', 'elephant']",70.36849319691129,17.409382284355402
mobilenetv2_x0_5,CIFAR100,256,0.697,0.695,0.698,0.925,0.925,0.926,4,1.16,1.16,1,1,False,,0.1,0.0,0.2079,0.2087,0.25,False,0,[1],10,"['skyscraper', 'cup', 'apple', 'sea', 'train', 'mouse', 'whale', 'woman', 'trout', 'road']",106.82220756840064,18.878509031592884
